key,id,name,type,variable,value,year,crime_type,place_name
1600000US0816000--2011--Murder-Manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,6.136706949,2011,Murder-Manslaughter,"Colorado Springs, CO"
1600000US0816000--2011--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3744.807402,2011,Property crime,"Colorado Springs, CO"
1600000US0816000--2011--Rape--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,75.29267372,2011,Rape,"Colorado Springs, CO"
1600000US0816000--2011--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,105.9762085,2011,Robbery,"Colorado Springs, CO"
1600000US0816000--2011--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,440.19071,2011,Violent crime,"Colorado Springs, CO"
1600000US0816000--2012--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,247.2894165,2012,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2012--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,9209.159656,2012,All Crimes,"Colorado Springs, CO"
1600000US0816000--2012--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,17.58091268,2012,Arson,"Colorado Springs, CO"
1600000US0816000--2012--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,842.2645141,2012,Burglary,"Colorado Springs, CO"
1600000US0816000--2012--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,2881.419057,2012,Larceny,"Colorado Springs, CO"
1600000US0816000--2012--MV theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,416.8526928,2012,MV theft,"Colorado Springs, CO"
1600000US0816000--2012--Murder-Manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4.163900372,2012,Murder-Manslaughter,"Colorado Springs, CO"
1600000US0816000--2012--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4140.536264,2012,Property crime,"Colorado Springs, CO"
1600000US0816000--2012--Rape--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,82.81535184,2012,Rape,"Colorado Springs, CO"
1600000US0816000--2012--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,120.9844386,2012,Robbery,"Colorado Springs, CO"
1600000US0816000--2012--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,455.2531073,2012,Violent crime,"Colorado Springs, CO"
