key,id,name,type,variable,value,year,crime_type,place_name
1600000US0662000--2008--Violent crime--count,1600000US0662000,"Riverside, California",place,count,1922.0,2008,Violent crime,"Riverside, CA"
1600000US0662000--2012--Arson--rate,1600000US0662000,"Riverside, California",place,rate,20.73153617493589,2012,Arson,"Riverside, CA"
1600000US0662000--2010--Motor vehicle theft--count,1600000US0662000,"Riverside, California",place,count,1461.0,2010,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2012--Violent crime--count,1600000US0662000,"Riverside, California",place,count,1389.0,2012,Violent crime,"Riverside, CA"
1600000US0662000--2014--Robbery--rate,1600000US0662000,"Riverside, California",place,rate,138.04847661471328,2014,Robbery,"Riverside, CA"
1600000US0662000--2013--Property crime--rate,1600000US0662000,"Riverside, California",place,rate,3352.4743776527,2013,Property crime,"Riverside, CA"
1600000US0662000--2008--Aggravated assault--rate,1600000US0662000,"Riverside, California",place,rate,356.73249071426665,2008,Aggravated assault,"Riverside, CA"
1600000US0662000--2009--Aggravated assault--rate,1600000US0662000,"Riverside, California",place,rate,251.77492988651787,2009,Aggravated assault,"Riverside, CA"
1600000US0662000--2013--Murder and nonnegligent manslaughter--count,1600000US0662000,"Riverside, California",place,count,10.0,2013,Murder and nonnegligent manslaughter,"Riverside, CA"
1600000US0662000--2011--Aggravated assault--count,1600000US0662000,"Riverside, California",place,count,782.0,2011,Aggravated assault,"Riverside, CA"
1600000US0662000--2009--Robbery--rate,1600000US0662000,"Riverside, California",place,rate,222.42897779378464,2009,Robbery,"Riverside, CA"
1600000US0662000--2012--Murder and nonnegligent manslaughter--count,1600000US0662000,"Riverside, California",place,count,16.0,2012,Murder and nonnegligent manslaughter,"Riverside, CA"
1600000US0662000--2007--Larceny--rate,1600000US0662000,"Riverside, California",place,rate,2365.758806863741,2007,Larceny,"Riverside, CA"
1600000US0662000--2008--All Crimes--count,1600000US0662000,"Riverside, California",place,count,26087.0,2008,All Crimes,"Riverside, CA"
1600000US0662000--2009--Murder and nonnegligent manslaughter--count,1600000US0662000,"Riverside, California",place,count,15.0,2009,Murder and nonnegligent manslaughter,"Riverside, CA"
1600000US0662000--2007--Motor vehicle theft--rate,1600000US0662000,"Riverside, California",place,rate,616.7477414871439,2007,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2012--Larceny--rate,1600000US0662000,"Riverside, California",place,rate,2262.926910171849,2012,Larceny,"Riverside, CA"
1600000US0662000--2008--Property crime--count,1600000US0662000,"Riverside, California",place,count,11059.0,2008,Property crime,"Riverside, CA"
1600000US0662000--2009--Violent crime--count,1600000US0662000,"Riverside, California",place,count,1535.0,2009,Violent crime,"Riverside, CA"
1600000US0662000--2007--Murder and nonnegligent manslaughter--count,1600000US0662000,"Riverside, California",place,count,12.0,2007,Murder and nonnegligent manslaughter,"Riverside, CA"
1600000US0662000--2008--Larceny--count,1600000US0662000,"Riverside, California",place,count,7230.0,2008,Larceny,"Riverside, CA"
1600000US0662000--2006--Forcible rape--rate,1600000US0662000,"Riverside, California",place,rate,28.356872954376183,2006,Forcible rape,"Riverside, CA"
1600000US0662000--2006--Property crime--count,1600000US0662000,"Riverside, California",place,count,12267.0,2006,Property crime,"Riverside, CA"
1600000US0662000--2010--Aggravated assault--count,1600000US0662000,"Riverside, California",place,count,859.0,2010,Aggravated assault,"Riverside, CA"
1600000US0662000--2013--Rape (legacy definition)--count,1600000US0662000,"Riverside, California",place,count,78.0,2013,Rape (legacy definition),"Riverside, CA"
1600000US0662000--2006--Aggravated assault--count,1600000US0662000,"Riverside, California",place,count,1106.0,2006,Aggravated assault,"Riverside, CA"
1600000US0662000--2014--Aggravated assault--count,1600000US0662000,"Riverside, California",place,count,788.0,2014,Aggravated assault,"Riverside, CA"
1600000US0662000--2014--Robbery--count,1600000US0662000,"Riverside, California",place,count,441.0,2014,Robbery,"Riverside, CA"
1600000US0662000--2009--Property crime--count,1600000US0662000,"Riverside, California",place,count,9590.0,2009,Property crime,"Riverside, CA"
1600000US0662000--2011--Robbery--count,1600000US0662000,"Riverside, California",place,count,458.0,2011,Robbery,"Riverside, CA"
1600000US0662000--2006--Larceny--rate,1600000US0662000,"Riverside, California",place,rate,2552.460214965596,2006,Larceny,"Riverside, CA"
1600000US0662000--2013--Burglary--rate,1600000US0662000,"Riverside, California",place,rate,625.1125866324509,2013,Burglary,"Riverside, CA"
1600000US0662000--2009--Motor vehicle theft--rate,1600000US0662000,"Riverside, California",place,rate,443.8575254025898,2009,Motor vehicle theft,"Riverside, CA"
