name,type,variable,value,year,crime_type
"Portland, Oregon",place,rate,288,2014,Aggravated Assault
"Portland, Oregon",place,rate,52,2011,Arson
"Portland, Oregon",place,rate,155,2011,Robbery
"Portland, Oregon",place,rate,4,2007,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,514,2011,Violent Crime
"Portland, Oregon",place,rate,747,2012,Burglary
"Portland, Oregon",place,rate,45,2008,Forcible Rape
"Portland, Oregon",place,rate,517,2012,Violent Crime
"Portland, Oregon",place,rate,472,2014,Violent Crime
"Portland, Oregon",place,rate,3905,2008,Larceny
"Portland, Oregon",place,rate,27,2013,Arson
"Portland, Oregon",place,rate,5287,2008,Property Crime
"Portland, Oregon",place,rate,658,2009,Burglary
"Portland, Oregon",place,rate,38,2012,Forcible Rape
"Portland, Oregon",place,rate,4013,2014,Larceny
"Portland, Oregon",place,rate,5088,2011,Property Crime
"Portland, Oregon",place,rate,825,2006,Motor Vehicle Theft
"Portland, Oregon",place,rate,4864,2013,Property Crime
"Portland, Oregon",place,rate,61,2007,Arson
"Portland, Oregon",place,rate,178,2010,Robbery
"Portland, Oregon",place,rate,10722,2013,All Crimes
"Portland, Oregon",place,rate,317,2010,Aggravated Assault
"Portland, Oregon",place,rate,622,2008,Violent Crime
"Portland, Oregon",place,rate,153,2016,Robbery
"Portland, Oregon",place,rate,5152,2016,Property Crime
"Portland, Oregon",place,rate,60,2016,Rape (Revised Definition)
"Portland, Oregon",place,rate,276,2016,Aggravated Assault
"Portland, Oregon",place,rate,36,2016,Arson
"Portland, Oregon",place,rate,3752,2016,Larceny
"Portland, Oregon",place,rate,766,2016,Motor Vehicle Theft
"Portland, Oregon",place,rate,11327,2016,All Crimes
"Portland, Oregon",place,rate,632,2016,Burglary
"Portland, Oregon",place,rate,492,2016,Violent Crime
"Portland, Oregon",place,rate,3,2010,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,3,2011,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,3,2009,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,2,2013,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,2,2016,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,3,2012,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,67,2017,Rape (Revised Definition)
"Portland, Oregon",place,rate,1123,2017,Motor Vehicle Theft
"Portland, Oregon",place,rate,5677,2017,Property Crime
"Portland, Oregon",place,rate,3,2017,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,112432,2017,All Crimes
"Portland, Oregon",place,rate,47,2017,Arson
"Portland, Oregon",place,rate,283,2017,Aggravated Assault
"Portland, Oregon",place,rate,160,2017,Robbery
"Portland, Oregon",place,rate,515,2017,Violent Crime
"Portland, Oregon",place,rate,3824,2017,Larceny
"Portland, Oregon",place,rate,729,2017,Burglary
"Portland, Oregon",place,rate,520,2018,Violent Crime
"Portland, Oregon",place,rate,1054,2018,Motor Vehicle Theft
"Portland, Oregon",place,rate,3,2018,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,66,2018,Rape (Revised Definition)
"Portland, Oregon",place,rate,160,2018,Robbery
"Portland, Oregon",place,rate,3728,2018,Larceny
"Portland, Oregon",place,rate,676,2018,Burglary
"Portland, Oregon",place,rate,5459,2018,Property Crime
"Portland, Oregon",place,rate,288,2018,Aggravated Assault
"Portland, Oregon",place,rate,111959,2018,All Crimes
"Riverside, California",place,rate,2042.004534,2011,Larceny
"Riverside, California",place,rate,30.40305768,2007,Forcible rape
"Riverside, California",place,rate,7069.584571,2014,All Crimes
"Riverside, California",place,rate,2184.417694,2013,Larceny
"Riverside, California",place,rate,44.76401849,2014,Rape (revised definition)
"Riverside, California",place,rate,810.3915982,2006,Burglary
"Riverside, California",place,rate,8752.405517,2007,All Crimes
"Riverside, California",place,rate,8713.558507,2008,All Crimes
"Riverside, California",place,rate,278.1023444,2006,Robbery
"Riverside, California",place,rate,236.0763914,2013,Aggravated assault
"Riverside, California",place,rate,166.3028103,2010,Robbery
"Riverside, California",place,rate,414.0604925,2011,Motor vehicle theft
"Riverside, California",place,rate,470.7653445,2012,Motor vehicle theft
"Riverside, California",place,rate,7133.354801,2011,All Crimes
"Riverside, California",place,rate,7569.29806,2013,All Crimes
"Riverside, California",place,rate,27.5470883,2014,Arson
"Riverside, California",place,rate,443.0169807,2012,Violent crime
"Riverside, California",place,rate,744.0396643,2007,Burglary
"Riverside, California",place,rate,632.4504196,2007,Violent crime
"Riverside, California",place,rate,3198.041825,2009,Property crime
"Riverside, California",place,rate,164.8954493,2012,Robbery
"Riverside, California",place,rate,36.40809128,2008,Forcible rape
"Riverside, California",place,rate,9802.936815,2006,All Crimes
"Riverside, California",place,rate,420.3234278,2013,Violent crime
"Riverside, California",place,rate,426.0952437,2011,Violent crime
"Riverside, California",place,rate,229.192281,2007,Robbery
"Riverside, California",place,rate,377.8638733,2006,Aggravated assault
"Riverside, California",place,rate,25.83987888,2010,Forcible rape
"Riverside, California",place,rate,3300.547607,2010,Property crime
"Riverside, California",place,rate,16.23274443,2010,Arson
"Riverside, California",place,rate,18.54002205,2011,Forcible rape
"Riverside, California",place,rate,26.34466154,2009,Arson
"Riverside, California",place,rate,2080.561308,2009,Larceny
"Riverside, California",place,rate,3450.365513,2012,Property crime
"Riverside, California",place,rate,20.73153617,2012,Arson
"Riverside, California",place,rate,138.0484766,2014,Robbery
"Riverside, California",place,rate,3352.474378,2013,Property crime
"Riverside, California",place,rate,356.7324907,2008,Aggravated assault
"Riverside, California",place,rate,251.7749299,2009,Aggravated assault
"Riverside, California",place,rate,222.4289778,2009,Robbery
"Riverside, California",place,rate,2365.758807,2007,Larceny
"Riverside, California",place,rate,616.7477415,2007,Motor vehicle theft
"Riverside, California",place,rate,2262.92691,2012,Larceny
"Riverside, California",place,rate,28.35687295,2006,Forcible rape
"Riverside, California",place,rate,2552.460215,2006,Larceny
"Riverside, California",place,rate,625.1125866,2013,Burglary
"Riverside, California",place,rate,443.8575254,2009,Motor vehicle theft
"Riverside, California",place,rate,828.1573499,2006,Motor vehicle theft
"Riverside, California",place,rate,4.009194419,2007,Murder and nonnegligent manslaughter
"Riverside, California",place,rate,641.9848756,2008,Violent crime
"Riverside, California",place,rate,433.2405706,2014,Violent crime
"Riverside, California",place,rate,484.0008083,2010,Motor vehicle theft
"Riverside, California",place,rate,7446.201867,2009,All Crimes
"Riverside, California",place,rate,7807.496523,2012,All Crimes
"Riverside, California",place,rate,44.7560284,2006,Arson
"Riverside, California",place,rate,511.886778,2009,Violent crime
"Riverside, California",place,rate,3132.6132,2011,Property crime
"Riverside, California",place,rate,479.6941618,2010,Violent crime
"Riverside, California",place,rate,24.23994999,2012,Forcible rape
"Riverside, California",place,rate,481.7610102,2014,Motor vehicle theft
"Riverside, California",place,rate,3.758139789,2006,Murder and nonnegligent manslaughter
"Riverside, California",place,rate,673.6229912,2009,Burglary
"Riverside, California",place,rate,688.0812305,2006,Violent crime
"Riverside, California",place,rate,242.4979291,2008,Robbery
"Riverside, California",place,rate,737.5143628,2008,Burglary
"Riverside, California",place,rate,284.5699482,2010,Aggravated assault
"Riverside, California",place,rate,7576.716281,2010,All Crimes
"Riverside, California",place,rate,15.93791369,2011,Arson
"Riverside, California",place,rate,685.0880709,2010,Burglary
"Riverside, California",place,rate,41.75239826,2008,Arson
"Riverside, California",place,rate,24.65054689,2013,Rape (legacy definition)
"Riverside, California",place,rate,368.8458866,2007,Aggravated assault
"Riverside, California",place,rate,541.4451006,2008,Motor vehicle theft
"Riverside, California",place,rate,2131.458727,2010,Larceny
"Riverside, California",place,rate,3693.918179,2008,Property crime
"Riverside, California",place,rate,4191.009163,2006,Property crime
"Riverside, California",place,rate,2414.958715,2008,Larceny
"Riverside, California",place,rate,34.4122521,2007,Arson
"Riverside, California",place,rate,6.346364535,2008,Murder and nonnegligent manslaughter
"Riverside, California",place,rate,32.68071938,2009,Forcible rape
"Riverside, California",place,rate,5.002150925,2009,Murder and nonnegligent manslaughter
"Riverside, California",place,rate,2126.760431,2014,Larceny
"Riverside, California",place,rate,248.7784341,2012,Aggravated assault
"Riverside, California",place,rate,156.436163,2013,Robbery
"Riverside, California",place,rate,3726.546213,2007,Property crime
"Riverside, California",place,rate,23.70244894,2013,Arson
"Riverside, California",place,rate,148.9707035,2011,Robbery
"Riverside, California",place,rate,716.6732582,2012,Burglary
"Riverside, California",place,rate,254.356092,2011,Aggravated assault
"Riverside, California",place,rate,676.5481732,2011,Burglary
"Riverside, California",place,rate,3087.778171,2014,Property crime
"Riverside, California",place,rate,479.2567295,2014,Burglary
