key,id,name,type,variable,value,year,crime_type,place_name
1600000US0816000--2012--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,17.580912680695928,2012,Arson,"Colorado Springs, CO"
1600000US0816000--2010--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,25.132826990645558,2010,Arson,"Colorado Springs, CO"
1600000US0816000--2007--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,29.13565990933197,2007,Arson,"Colorado Springs, CO"
1600000US0816000--2009--Motor vehicle theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,264.1761240557135,2009,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2014--Rape (revised definition)--count,1600000US0816000,"Colorado Springs, Colorado",place,count,412.0,2014,Rape (revised definition),"Colorado Springs, CO"
1600000US0816000--2014--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,8272.858237685668,2014,All Crimes,"Colorado Springs, CO"
1600000US0816000--2012--All Crimes--count,1600000US0816000,"Colorado Springs, Colorado",place,count,39810.0,2012,All Crimes,"Colorado Springs, CO"
1600000US0816000--2007--Arson--count,1600000US0816000,"Colorado Springs, Colorado",place,count,109.0,2007,Arson,"Colorado Springs, CO"
1600000US0816000--2006--Burglary--count,1600000US0816000,"Colorado Springs, Colorado",place,count,3347.0,2006,Burglary,"Colorado Springs, CO"
1600000US0816000--2006--Arson--count,1600000US0816000,"Colorado Springs, Colorado",place,count,115.0,2006,Arson,"Colorado Springs, CO"
1600000US0816000--2009--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,25.147774297480737,2009,Arson,"Colorado Springs, CO"
1600000US0816000--2011--Violent crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1865.0,2011,Violent crime,"Colorado Springs, CO"
1600000US0816000--2013--Rape (legacy definition)--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,0.0,2013,Rape (legacy definition),"Colorado Springs, CO"
1600000US0816000--2009--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,2578.767310881268,2009,Larceny,"Colorado Springs, CO"
1600000US0816000--2009--Robbery--count,1600000US0816000,"Colorado Springs, Colorado",place,count,525.0,2009,Robbery,"Colorado Springs, CO"
1600000US0816000--2014--Larceny--count,1600000US0816000,"Colorado Springs, Colorado",place,count,11914.0,2014,Larceny,"Colorado Springs, CO"
1600000US0816000--2011--Motor vehicle theft--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1168.0,2011,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2009--Forcible rape--count,1600000US0816000,"Colorado Springs, Colorado",place,count,344.0,2009,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2007--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,9940.071422461722,2007,All Crimes,"Colorado Springs, CO"
1600000US0816000--2008--Forcible rape--count,1600000US0816000,"Colorado Springs, Colorado",place,count,335.0,2008,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2007--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4424.878111367719,2007,Property crime,"Colorado Springs, CO"
1600000US0816000--2012--Forcible rape--count,1600000US0816000,"Colorado Springs, Colorado",place,count,358.0,2012,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2014--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,620.0710643242259,2014,Burglary,"Colorado Springs, CO"
1600000US0816000--2008--Larceny--count,1600000US0816000,"Colorado Springs, Colorado",place,count,11541.0,2008,Larceny,"Colorado Springs, CO"
1600000US0816000--2014--Motor vehicle theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,369.9300369255802,2014,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2010--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,132.19866997079566,2010,Robbery,"Colorado Springs, CO"
1600000US0816000--2010--Forcible rape--count,1600000US0816000,"Colorado Springs, Colorado",place,count,319.0,2010,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2011--Aggravated assault--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1071.0,2011,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2009--Aggravated assault--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1084.0,2009,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2009--Property crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,14723.0,2009,Property crime,"Colorado Springs, CO"
1600000US0816000--2012--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,247.28941652189403,2012,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2012--Forcible rape--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,82.81535183801502,2012,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2007--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3177.6580275425536,2007,Larceny,"Colorado Springs, CO"
1600000US0816000--2008--Violent crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1999.0,2008,Violent crime,"Colorado Springs, CO"
1600000US0816000--2011--Murder and nonnegligent manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,6.136706948640484,2011,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
