name,type,variable,value,year,crime_type,key,id,place_name
"Norfolk, Virginia",place,count,787,2008,Aggravated assault,,,
"Norfolk, Virginia",place,rate,787.1394056,2006,Violent crime,,,
"Norfolk, Virginia",place,count,788,2018,Motor vehicle theft,,,
"Norfolk, Virginia",place,rate,794.6670524,2008,Burglary,,,
"Norfolk, Virginia",place,count,821,2017,Aggravated assault,,,
"Norfolk, Virginia",place,rate,824.4946483,2013,Burglary,,,
"Norfolk, Virginia",place,rate,829.9761345,2008,Violent crime,,,
"Norfolk, Virginia",place,count,842,2013,Aggravated assault,,,
"Norfolk, Virginia",place,rate,844.2188124,2007,Violent crime,,,
"Norfolk, Virginia",place,count,869,2007,Aggravated assault,,,
"Norfolk, Virginia",place,rate,883.8904792,2009,Burglary,,,
"Norfolk, Virginia",place,count,910,2007,Robbery,,,
"Norfolk, Virginia",place,rate,918.1779702,2011,Burglary,,,
"Norfolk, Virginia",place,rate,921.7172232,2012,Burglary,,,
"Norfolk, Virginia",place,rate,921.8282785,2010,Burglary,,,
"Norfolk, Virginia",place,count,922,2010,Motor vehicle theft,,,
"Norfolk, Virginia",place,count,948,2006,Robbery,,,
"Norfolk, Virginia",place,count,950,2009,Motor vehicle theft,,,
"Norfolk, Virginia",place,count,950,2016,Aggravated assault,,,
"Norfolk, Virginia",place,count,1027,2007,Motor vehicle theft,,,
"Norfolk, Virginia",place,count,1037,2006,Motor vehicle theft,,,
"Norfolk, Virginia",place,count,1050,2008,Robbery,,,
"Norfolk, Virginia",place,rate,3668.296659,2015,Property crime,,,
"Norfolk, Virginia",place,count,1115,2008,Motor vehicle theft,,,
"Norfolk, Virginia",place,count,1134,2018,Violent crime,,,
"Norfolk, Virginia",place,count,1156,2017,Burglary,,,
"Norfolk, Virginia",place,count,1165,2016,Burglary,,,
"Norfolk, Virginia",place,count,1280,2014,Violent crime,,,
"Norfolk, Virginia",place,count,1312,2014,Burglary,,,
"Norfolk, Virginia",place,count,9002,2015,Property crime,,,
"Norfolk, Virginia",place,count,1332,2012,Violent crime,,,
"Norfolk, Virginia",place,count,1363,2017,Violent crime,,,
"Norfolk, Virginia",place,count,1418,2013,Violent crime,,,
"Norfolk, Virginia",place,count,1424,2011,Violent crime,,,
"Norfolk, Virginia",place,count,1445,2010,Violent crime,,,
"Norfolk, Virginia",place,count,1542,2009,Violent crime,,,
"Norfolk, Virginia",place,count,1614,2006,Burglary,,,
"Norfolk, Virginia",place,count,1616,2016,Violent crime,,,
"Norfolk, Virginia",place,count,1694,2007,Burglary,,,
"Norfolk, Virginia",place,count,1844,2006,Violent crime,,,
"Norfolk, Virginia",place,count,1868,2008,Burglary,,,
"Norfolk, Virginia",place,count,1924,2007,Violent crime,,,
"Norfolk, Virginia",place,count,1951,2008,Violent crime,,,
"Norfolk, Virginia",place,count,2039,2013,Burglary,,,
"Norfolk, Virginia",place,count,2078,2009,Burglary,,,
"Norfolk, Virginia",place,count,2158,2010,Burglary,,,
"Norfolk, Virginia",place,count,2256,2011,Burglary,,,
"Norfolk, Virginia",place,count,2261,2012,Burglary,,,
"Norfolk, Virginia",place,rate,2853.319255,2018,Larceny,,,
"Norfolk, Virginia",place,rate,2984.624169,2017,Larceny,,,
"Norfolk, Virginia",place,rate,44.00977995,2015,Rape (revised definition),,,
"Norfolk, Virginia",place,rate,3182.800573,2014,Larceny,,,
"Norfolk, Virginia",place,rate,3222.183336,2016,Larceny,,,
"Norfolk, Virginia",place,rate,3237.324254,2013,Larceny,,,
"Norfolk, Virginia",place,rate,3425.55941,2012,Larceny,,,
"Norfolk, Virginia",place,rate,3463.517047,2018,Property crime,,,
"Norfolk, Virginia",place,count,108,2015,Rape (revised definition),,,
"Norfolk, Virginia",place,rate,3748.929402,2017,Property crime,,,
"Norfolk, Virginia",place,rate,3751.261681,2011,Larceny,,,
"Norfolk, Virginia",place,rate,3855.446373,2006,Larceny,,,
"Norfolk, Virginia",place,rate,3859.975516,2007,Larceny,,,
"Norfolk, Virginia",place,rate,3913.581352,2016,Property crime,,,
